context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Rechtsmittel zur Anfechtung von Urteilen sind die Berufung, die Drittwiderspruchsklage, die Wiederaufnahmeklage und die Kassationsbeschwerde ausschließlich aus Gründen in Zusammenhang mit der Gerichtsbarkeit.	Berufung an den Kassationsgerichtshof,Kassationsbeschwerde	Revision	Revision	Beschwerde in Zivilsachen
Der Steuerzahler kann die Rückerstattung der irrtümlich bezahlten Abgaben innerhalb der Verfallsfrist von drei Jahren mit Ablauf vom Tag der Zahlung oder, im Falle der Verweigerung des abgabenpflichtigen Aktes, vom Datum der Mitteilung der genannten Verweigerung beantragen.	Ausschlussfrist,Fallfrist,Verfallsfrist	Präklusivfrist		Präklusionsfrist
Die Erklärung bewirkt weder eine Unterbrechung der Verfahrensfristen, noch darf sie den Verfahrensablauf verzögern..	Verfahrensfrist	prozessuale Frist	prozessuale Frist	prozessuale Frist
Der Rekus  wird innerhalb der gesetzlichen Frist zusammen mit der Maßnahme beim Sekretariat der örtlich zuständigen Rechtsprechungssektion hinterlegt.	gesetzliche Frist	gesetzlich bestimmte Frist	gesetzlich bestimmte Frist	gesetzlich bestimmte Frist
Damit ein Eid zugeschoben oder zurückgeschoben werden kann, müssen die in Artikel 2731 angegebenen Bedingungen vorliegen.	Eid,Eidesleistung	Beeidigung	Beeidigung,Vereidigung	
Urteile und Verfügungen ausländischer Gerichte, welche Zeugenvernehmungen, fachkundliche Ermittlungen, Eidesleistungen, Parteienvernehmungen oder sonstige im Inland aufzunehmende Beweismittel betreffen, werden durch ein Dekret des Oberlandesgerichts  für durchführbar erklärt.	Eid,Eidesleistung	Beeidigung	Beeidigung,Vereidigung	
Derjenige, dem der Besitz gewaltsam oder heimlich entzogen worden ist, kann innerhalb eines Jahres von der erlittenen Entziehung an von deren Urheber die Wiederherstellung des Besitzes verlangen .	Entziehung	Besitzentziehung,Entziehung des Besitzes	Besitzentziehung	Besitzesentziehung
Jeder den Besitz betreffende Anspruch (1140 ff. ZGB.) infolge von Ereignissen, die im Lauf eines petitorischen Verfahrens eintreten, ist bei dem mit diesem befaßten Gericht einzubringen.	petitorisches Verfahren	Eigentumsprozess		petitorischer Prozess
Die gemeinschaftlichen Teile des Gebäudes sind nicht teilbar, es sei denn, eine Teilung lässt sich vornehmen, ohne dass sich der Gebrauch der Sache für die einzelnen Miteigentümer erschwert, und alle Teilhaber an der Miteigentümergemeinschaft sind mit der Teilung einverstanden.	Miteigentumsgemeinschaft,Miteigentümergemeinschaft	Eigentümergemeinschaft,Wohnungseigentümergemeinschaft	Gemeinschaft der Wohnungseigentümer	Gemeinschaft der Stockwerkeigentümer,Stockwerkeigentümergemeinschaft
Wer vor Einleitung eines Verfahrens dringend den Zustand von Örtlichkeiten oder die Eigenschaften oder Beschaffenheit von Gegenständen feststellen lassen will, kann  beantragen, daß eine fachkundliche Ermittlung  oder ein gerichtlicher Augenschein  angeordnet wird.	gerichtlicher Augenschein		richterlicher Augenschein	
Der Kollektivvertrag hat diejenigen Bestimmungen zu enthalten, die je nach der Art des Arbeitsverhältnisses notwendig sind, um den Vorschriften dieses Gesetzbuchs über die Regelung der Arbeit, die Rechte und Pflichten der Unternehmer und Arbeitnehmer zur Durchsetzung zu verhelfen.	KV,Kollektivarbeitsvertrag,Kollektivvertrag		TV,Tarifvertrag	GAV,Gesamtarbeitsvertrag
Die Regelung des Kollektivarbeitsvertrages ist auch auf die  landwirtschaftlichen Gemeinschaftsverhältnisse und auf Pachtverhältnisse mit dem Selbstbebauer eines Grundstücks anzuwenden.	KV,Kollektivarbeitsvertrag,Kollektivvertrag		TV,Tarifvertrag	GAV,Gesamtarbeitsvertrag
Für Zeiten, während deren der Angestellte die Dienstleistung unterläßt, ohne daß ein Grund vorliegt, der nach dem Gesetz oder KV einen Anspruch auf Weiterleistung der Bezüge begründet, besteht kein Entgeltanspruch.	KV,Kollektivarbeitsvertrag,Kollektivvertrag		TV,Tarifvertrag	GAV,Gesamtarbeitsvertrag
Die Hypothek muss auf bestimmt bezeichnete Sachen und für einen in Geld bestimmten Betrag eingeschrieben werden.	Hypothek			Grundpfandverschreibung
Bei Verpfändung von Wertpapieren erstreckt sich die Sicherheit nicht auf die Prämien und sonstigen zufallsbedingten Ausschüttungen, die das Papier abwirft.	Verpfändung von Wertpapieren		Pfandrecht an einem Wertpapier	
Bei Verdacht auf häusliche Gewalt werden die Frauen unverzüglich für eine professionelle Beratung an die spezifischen Fachdienste verwiesen, welche die Anforderungen für die Akkreditierung erfüllen.	häusliche Gewalt	Gewalt in der Familie		
Ist der Bewerber Eigentümer einer nicht angemessenen Wohnung in einer Gemeinde des Landes oder hat er an einer solchen Wohnung das Fruchtgenussrecht, kann er eine Mietwohnung nur zugewiesen erhalten, wenn er seine Wohnung dem Wohnbauinstitut zur Miete anbietet.	Fruchtgenuss,Fruchtgenussrecht	Fruchtnießung,Nießbrauch,usus fructus	Nießbrauch	Niessbrauch,Nutzniessung
Wer den Fruchtgenuss an einer in einem Namenspapier verbrieften Forderung hat, hat das Recht, ein von dem des Eigentümers gesondertes Papier zu erhalten.	Fruchtgenuss,Fruchtgenussrecht	Fruchtnießung,Nießbrauch,usus fructus	Nießbrauch	Niessbrauch,Nutzniessung
"Der Koordinator, der den Rang eines Dirigenten (""dirigente"") bekleidet, erstellt Ausgabenvorschläge für die Verwirklichung der Programme nach dem vorstehenden Absatz, koordiniert die Erstellung der Programmschemas und überwacht die Ausführung der genehmigten Programme ."	Dienstrang,Rang,beruflicher Rang	Qualifikation	Berufsqualifikation,Qualifikation	
Jene Ärzte mit italienischer Staatsbürgerschaft, die im Ausland im entsprechenden Dienstrang und Fach mindestens fünf Jahre Dienst geleistet haben  können ungeachtet der Erfordernisse der Eignung an den Stellenwettbewerben für denselben Rang und dasselbe Fach unmittelbar teilnehmen.	Dienstrang,Rang,beruflicher Rang	Qualifikation	Berufsqualifikation,Qualifikation	
Veräußerungsverbote schließen in der Regel ein Belastungsverbot in sich.	Veräußerungsverbot			Veräusserungsverbot
In Ermangelung anderer Anhaltspunkte hat sich das Gericht an die in den Katastermappen eingezeichneten Grenze zu halten.	Katastermappe,Katasterplan	Katastralmappe		
Die wichtigsten Datenquellen, die zur Vervollständigung des Landesverzeichnisses beitragen, sind  d) das Grundbuch und der Grundkataster der Autonomen Provinz Bozen und der Autonomen Provinz Trient, .	Grundkataster,Grundstückkataster		Liegenschaftskataster	
Einkünfte aus Grund und Boden sind mit den im Staatsgebiet gelegenen Grundstücken und Gebäuden, welche im Grundstückkataster oder in urbanen Baukataster unter Zuweisung eines Ertrages eingetragen oder einzutragen sind, zusammenhängende Einkünfte.	Grundkataster,Grundstückkataster		Liegenschaftskataster	
Mit dem Gesellschaftsvertrag bringen zwei oder mehrere Personen Sachen oder Dienstleistungen zur gemeinsamen Ausübung einer wirtschaftlichen Tätigkeit mit dem Zweck ein, den daraus erzielten Gewinn zu teilen.	wirtschaftliche Tätigkeit	Gewerbe,gewerbliche Tätigkeit	Gewerbe,gewerbliche Tätigkeit	Gewerbe
Über die Bestimmung des Artikels 979 hinaus erlischt der Fruchtgenuß:  durch die Vereinigung des Fruchtgenusses und des Eigentums in der gleichen Person.	Vereinigung		Konsolidation	Konsolidation
Umfasst sie die Schenkung künftige Güter, ist sie bezüglich derselben nichtig, außer es handelt sich im noch nicht abgseonderte Früchte.	künftiges Gut	künftige Sache	künftige Sache	
Die gerichtlichen Verfügungen werden in beiden Sprachen verkündet und abgefasst, sofern die daran interessierte Partei bis zur Verhandlung, in welcher der Erlass der Verfügung beantragt wird, nicht darauf verzichtet.	gerichtliche Verfügung	Entscheidung des Gerichtes,gerichtliche Entscheidung		
Die Abfassung des Protokolls und der Vermerke erfolgt durch einen höheren Amtsträger der Gerichtspolizei oder durch den Gehilfen, der der Staatsanwaltschaft Beistand leistet.	Abfassung des Protokolls	Aufnahme eines Protokolls		
Die Urteilsberatung erfolgt unmittelbar nach dem Schluß der Hauptverhandlung.	Beschlussfassung über das Urteil,Urteilsberatung		Beratung	
"Das kontinental-europäische Strafverfahren ist sohin kein ""reines"" Anklageverfahren, sondern ein vom Grundsatz ""Wo kein Kläger, da kein Richter"" beherrschtes Verfahren mit Anklagegrundsatz."	Anklagegrundsatz,auf dem Anklagegrundsatz fußendes Prozessmodell		Akkusationsprinzip,Anklageprinzip	Akkusationsprinzip,Anklageprinzip
Die Zustellungen an einen flüchtigen oder entwichenen Angeklagten werden durch Aushändigung einer Abschrift an den Verteidiger durchgeführt.	Flüchtiger,flüchtiger Angeklagter	flüchtiger Beschuldigter,flüchtiger Täter	flüchtiger Beschuldigter	
Niemand kann vorbeugenden Maßnahmen unterworfen werden, wenn gegen ihn nicht schwerwiegende Schuldindizien vorliegen	vorbeugende Maßnahme	Sicherungsmittel,prozessuales Zwangsmittel	prozessuales Zwangsmittel,strafprozessuale Zwangsmaßnahme,verfahrenssichernde Maßnahme	Zwangsmaßnahme
Der Untersuchungsgrundsatz bringt die Gefahr mit sich, daß der Richter durch seine Initiative bei der Wahrheitsfindung die volle Unbefangenheit verliert.	Untersuchungsgrundsatz	Ermittlungsgrundsatz,Inquisitionsprinzip,Instruktionsgrundsatz	Ermittlungsgrundsatz,Inquisitionsmaxime,Inquisitionsprinzip	Ermittlungsgrundsatz,Ermittlungsmaxime,Inquisitionsmaxime,Instruktionsmaxime,Untersuchungsmaxime
Die Hemmung oder die Unterbrechung der Verjährung zugunsten eines der Miteigentümer nützt auch den anderen.	Hemmung,Hemmung der Verjährung			Stillstand,Stillstand der Verjährung
Der Jahresabschluß ist klar aufzustellen und muß die Vermögens- und Finanzlage der Gesellschaft sowie das wirtschaftliche Ergebnis des Geschäftsjahres warheitsgetreu und richtig wiedergeben.	Ergebnis des Geschäftsjahres,wirtschaftliches Ergebnis			Geschäftsergebnis
In den von Gesetzen und Verordnungen geregelten Sachbereichen haben Gebräuche nur Wirsamkeit, soweit in jenen auf sie verwiesen wird.	Gebrauch	Brauch	Brauch	
Die Nichtigerklärung des Vertrages kann nur von der Partei, in deren Interesse sie vom Gesetz festgesetzt ist, beantragt werden.	Nichtigerklärung	Anfechtung	Anfechtung	
Mit der Volljährigkeit wird die Fähigkeit erworben, alle Rechtshandlungen vorzunehmen, für die nicht ein anderes Alter vorgeschrieben ist .	Rechtshandlung	menschliche Handlung	juristische Handlung	
Die Verbindlichkeit erlischt, wenn die Parteien die ursprüngliche Verbindlichkeit durch eine neue Verbindlichkeit ersetzen, die einen anderen Gegenstand oder Rechtstitel hat.	Rechtstitel,Titel		Rechtsgrund	
Nicht Gegenstand der Gütergemeinschaft bilden und persönliche Sachen des Ehegatten sind  e) Sachen, die aus dem Titel des Schadensersatzes erhalten wurden .	Rechtstitel,Titel		Rechtsgrund	
Unbeschadet der Verantwortlichkeit des Direktors der Anstalt können die Vermögensgüter auch Treuhändern anvertraut werden, die nicht Bedienstete der Anstalt sind.	Treuhänder	Treunehmer		
Die durch einen der Vertragsteile im voraus aufgestellten allgemeinen Vertragsbedingungen sind gegenüber dem anderen wirksam, wenn dieser sie im Zeitpunkt des Vertragsabschlusses kannte oder bei Anwendung der gewöhnlichen Sorgfalt  hätte kennen müssen.	Abschluss eines Vertrages,Vertragsabschluss	Abschluss des Vertrags,Vertragsschluss	Abschluss des Vertrags,Vertragsschluss	Vertragsschluss
Zur Leistung des eingeschränkten Unterhalts sind der Reihe nach verpflichtet: voll- und halbbürtige Geschwister unter Vorrang der vollbürtigen vor den halbbürtigen.	halbbürtige Geschwister		Halbgeschwister	Halbgeschwister
Veräußert jemand eine Sache, ohne ihr Eigentümer zu sein, so bewirkt sein späterer Eigentumserwerb die Heilung des Verfügungsgeschäfts.	Heilung		Bestätigung	
Gegen den Beschluß, mit dem der Antrag auf Wiedereinsetzung in den vorigen Stand abgewiesen wird, kann Kassationsbeschwerde eingelegt werden.	Berufung an den Kassationsgerichtshof,Kassationsbeschwerde	Nichtigkeitsbeschwerde	Revision	Beschwerde in Strafsachen
Gegen die Urteile und Maßnahmen, die die Freiheit der Personen betreffen, seien sie von ordentlichen Gerichten oder Sonderorganen der Rechtsprechung erlassen worden, ist Berufung an den Kassationsgerichtshof wegen Gesetzesverletzungen immer zulässig.	Berufung an den Kassationsgerichtshof,Kassationsbeschwerde	Nichtigkeitsbeschwerde	Revision	Beschwerde in Strafsachen
Die Androhung der Geltendmachung eines Rechts kann nur dann Grund für die Nichtigerklärung des Vertrages sein, wenn sie auf die Erreichung rechtswidriger Vorteile gerichtet ist.	Androhung,Bedrohung	gefährliche Drohung		
Wegen Hausfriedensbruchs, Beleidigung, Verletzung des Briefgeheimnisses, Körperverletzung, Bedrohung und Sachbeschädigung ist die Erhebung der Klage erst zulässig, nachdem von einer durch die Landesjustizverwaltung zu bezeichnenden Vergleichsbehörde die Sühne erfolglos versucht worden ist.	Androhung,Bedrohung	gefährliche Drohung		
Handelt es sich um Gesellschaften, so hat der Bericht die festgestellten Tatsachen und eingezogenen Auskünfte über die Verantwortlichkeit der Verwalter, Aufsichtsräte, Gesellschafter und gegebenenfalls von Personen, die nicht zur Gesellschaft gehören, darzulegen.	Haftung,Verantwortlichkeit,Verantwortung,zivilrechtliche Haftung		Eintretenmüssen,Vertretenmüssen	
Der Verkäufer, der das Wiederkaufsrecht ausübt, ist verpflichtet, dem Käufer den Preis, die Kosten und jede andere rechtmäßig für den Kauf geleistete Zahlung  zu ersetzen, die den Wert der Sache erhöht hat.	Wiederkauf,Wiederkaufsrecht			Rückkaufsrecht
Die Höhe des Zinssatzes kann sich aus der Vereinbarung ergeben, wobei auch eine konkludente Vereinbarung, etwa des kundenüblichen Zinssatzes ausreichend ist.	Zinssatz	Zinsfuß,Zinstaxe		Zinsfuss
Bei dauernden Bezügen wird der Preis zu den gebräuchlichen Fälligkeitsterminen bezahlt.	Fälligkeitstermin,Zeitpunkt der Fälligkeit	Fälligkeitszeitpunkt,Leistungszeitpunkt	Fälligkeitszeitpunkt,Zeitpunkt der Erfüllbarkeit	
Die Aktien können nicht zu einem geringeren als ihrem Nennwert ausgegeben werden.	Nennwert	Nominale	Nominalwert	Nominalwert
Der an den Versicherer gerichtete schriftliche Antrag bleibt für eine Frist von fünfzehn Tagen oder, wenn eine ärztliche Untersuchung nötig ist, für eine Frist von dreißig Tagen aufrecht.	Versicherer,Versicherungsgesellschaft	Versicherungsunternehmen	Versicherungsunternehmen	
Die vom Spediteur erlangten Prämien, Nachlässe und Tarifvergüstigungen sind vorbehaltlich einer gegenteiligen Abmachung dem Auftraggeber gutzuschreiben.	Auftraggeber	Versender	Versender	Versender
Die Inanspruchnahme von künstlichen Fortpflanzungstechniken ist nur jenen Paaren gestattet, bei denen fetsgestellt wird, dass der Grund ihrer Kinderlosigkeit unheilbar ist und Sterilität bzw. Unfruchtbarkeit medizinisch feststeht.	Unfruchtbarkeit	Infertilität	Infertilität	Infertilität
An Straßeneinmündungen von einem Pfad, einem Hirtenpfad, einem Saumpfad oder einem Radweg muss der Fahrer anhalten und den auf der Straße verkehrenden Verkehrsteilnehmern Vorrang geben.	Pfad	Steig		Wanderweg
Selbstfahrende Arbeitsmaschinen müssen im Straßenverkehr ein Kennzeichen mit den Zulassungsdaten führen. Gezogene Arbeitsmaschinen müssen ein besonderes Kennzeichen führen.	Kennzeichen,Kennzeichenschild	Kennzeichentafel	Nummernschild,amtliches Kennzeichen	Kontrollschild
Wer ohne die Genehmigung  zur Beförderung von Personen ein Fahrzeug zur Güterbeförderung verwendet, muss eine verwaltungsrechtliche Geldbuße zwischen 422 und 1.695 Euro zahlen.	Beförderung von Sachen,Güterbeförderung			Gütertransport
Der Vermieter hat nützliche Verbesserungen des Hauses oder einzelner Mietgegenstände nach Maßgabe der rechtlichen, wirtschaftlichen und technischen Gegebenheiten und Möglichkeiten durchzuführen, soweit dies im Hinblick auf den allgemeinen Erhaltungszustand des Hauses zweckmäßig ist .	Verbesserung		Modernisierung	Erneuerung
Im Darlehensvertrag muß ausdrücklich vereinbart werden, daß das Darlehen für den Bau, den Kauf oder die Wiedergewinnung der geförderten Wohnung bestimmt ist.	Darlehen,Darlehensvertrag	Darleihensvertrag	Sachdarlehensvertrag,Verbraucherdarlehensvertrag	
Wer versprochen hat, ein Darlehen zu gewähren, kann die Erfüllung seiner Verpflichtung verweigern, wenn sich die Vermögensverhältnisse der anderen Vertragspartei derart verändert haben, dass sie die Rückgabe erheblich erschweren, und ihr nicht geeignete Sicherheiten geboten werden.	Darlehen,Darlehensvertrag	Darleihensvertrag	Sachdarlehensvertrag,Verbraucherdarlehensvertrag	
Die  Arbeiten auf dem Gebiet des Wasserbaus und des Forstwesens, die normalerweise vom Landesforstinspektorat in Regie durchgeführt werden, umfassen auch Forststraßen und Erschließungsstraßen zu Almen.	Forststraße,Forstweg			Waldstrasse,Waldweg
Die Geldbuße darf  nicht höher sein als vier Stunden des Grundlohnes und die Suspendierung von Dienst und Entlohnung 10 Tage nicht überschreiten.	Geldbuße,Geldstrafe			Busse
Die Geldstrafe darf nicht auf einen höheren Betrag als den Grundlohn von vier Stunden lauten und die Suspendierung von Dienst und Entgelt nicht für mehr als zehn Tage ausgesprochen werden.	Geldbuße,Geldstrafe			Busse
